date,center,course,channel,satisfaction_score,difficulty_score,comment,issue_type,follow_up_needed
2026-07-17,송파센터,학부모 코칭,설명회,4,4,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-18,목동센터,AI 학습관리,홈페이지,4,4,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-19,대전센터,초등 자기주도,블로그,4,4,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-20,부산센터,중등 내신,카카오채널,5,4,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-01,강남센터,고등 입시,네이버광고,5,4,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-02,분당센터,학부모 코칭,지인추천,5,3,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-03,송파센터,AI 학습관리,설명회,4,3,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-04,목동센터,초등 자기주도,홈페이지,5,5,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-05,대전센터,중등 내신,블로그,4,5,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-06,부산센터,고등 입시,카카오채널,4,3,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-07,강남센터,학부모 코칭,네이버광고,4,4,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-08,분당센터,AI 학습관리,지인추천,4,4,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-09,송파센터,초등 자기주도,설명회,3,3,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-10,목동센터,중등 내신,홈페이지,4,4,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-11,대전센터,고등 입시,블로그,5,5,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-12,부산센터,학부모 코칭,카카오채널,4,4,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-13,강남센터,AI 학습관리,네이버광고,5,5,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-14,분당센터,초등 자기주도,지인추천,3,4,보고서 문장까지 만들어 보는 것이 좋았습니다.,report,N
2026-07-15,송파센터,중등 내신,설명회,4,5,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-16,목동센터,고등 입시,홈페이지,5,5,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-17,대전센터,학부모 코칭,블로그,4,4,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-18,부산센터,AI 학습관리,카카오채널,4,4,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-19,강남센터,초등 자기주도,네이버광고,4,3,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-20,분당센터,중등 내신,지인추천,5,4,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-01,송파센터,고등 입시,설명회,4,5,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-02,목동센터,학부모 코칭,홈페이지,4,4,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-03,대전센터,AI 학습관리,블로그,5,5,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-04,부산센터,초등 자기주도,카카오채널,4,4,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-05,강남센터,중등 내신,네이버광고,4,4,보고서 문장까지 만들어 보는 것이 좋았습니다.,report,N
2026-07-06,분당센터,고등 입시,지인추천,4,4,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-07,송파센터,학부모 코칭,설명회,5,5,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-08,목동센터,AI 학습관리,홈페이지,5,5,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-09,대전센터,초등 자기주도,블로그,5,4,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-10,부산센터,중등 내신,카카오채널,5,4,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-11,강남센터,고등 입시,네이버광고,3,4,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-12,분당센터,학부모 코칭,지인추천,5,3,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-13,송파센터,AI 학습관리,설명회,4,5,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-14,목동센터,초등 자기주도,홈페이지,5,5,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-15,대전센터,중등 내신,블로그,4,4,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-16,부산센터,고등 입시,카카오채널,4,5,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-17,강남센터,학부모 코칭,네이버광고,4,4,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-18,분당센터,AI 학습관리,지인추천,5,5,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-19,송파센터,초등 자기주도,설명회,3,3,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-20,목동센터,중등 내신,홈페이지,4,5,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-01,대전센터,고등 입시,블로그,5,3,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-02,부산센터,학부모 코칭,카카오채널,4,4,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-03,강남센터,AI 학습관리,네이버광고,5,4,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-04,분당센터,초등 자기주도,지인추천,4,3,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-05,송파센터,중등 내신,설명회,5,4,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-06,목동센터,고등 입시,홈페이지,4,4,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-07,대전센터,학부모 코칭,블로그,4,3,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-08,부산센터,AI 학습관리,카카오채널,4,4,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-09,강남센터,초등 자기주도,네이버광고,4,3,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-10,분당센터,중등 내신,지인추천,3,3,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-11,송파센터,고등 입시,설명회,5,3,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-12,목동센터,학부모 코칭,홈페이지,5,3,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-13,대전센터,AI 학습관리,블로그,4,3,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-14,부산센터,초등 자기주도,카카오채널,4,3,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-15,강남센터,중등 내신,네이버광고,4,3,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-16,분당센터,고등 입시,지인추천,4,4,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-17,송파센터,학부모 코칭,설명회,4,5,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-18,목동센터,AI 학습관리,홈페이지,5,4,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-19,대전센터,초등 자기주도,블로그,4,4,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-20,부산센터,중등 내신,카카오채널,5,3,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-01,강남센터,고등 입시,네이버광고,4,4,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-02,분당센터,학부모 코칭,지인추천,5,4,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-03,송파센터,AI 학습관리,설명회,5,4,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-04,목동센터,초등 자기주도,홈페이지,4,5,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-05,대전센터,중등 내신,블로그,4,4,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-06,부산센터,고등 입시,카카오채널,3,4,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-07,강남센터,학부모 코칭,네이버광고,4,3,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-08,분당센터,AI 학습관리,지인추천,5,5,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-09,송파센터,초등 자기주도,설명회,4,5,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-10,목동센터,중등 내신,홈페이지,5,5,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-11,대전센터,고등 입시,블로그,4,4,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-12,부산센터,학부모 코칭,카카오채널,5,4,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-13,강남센터,AI 학습관리,네이버광고,4,4,여러 파일을 하나로 합치는 기준을 더 연습하고 싶습니다.,merge,Y
2026-07-14,분당센터,초등 자기주도,지인추천,5,5,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-15,송파센터,중등 내신,설명회,5,3,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-16,목동센터,고등 입시,홈페이지,3,4,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-17,대전센터,학부모 코칭,블로그,4,4,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-18,부산센터,AI 학습관리,카카오채널,4,4,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-19,강남센터,초등 자기주도,네이버광고,4,4,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-20,분당센터,중등 내신,지인추천,5,4,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-01,송파센터,고등 입시,설명회,5,3,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-02,목동센터,학부모 코칭,홈페이지,3,4,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-03,대전센터,AI 학습관리,블로그,5,4,보고서 문장까지 만들어 보는 것이 좋았습니다.,report,N
2026-07-04,부산센터,초등 자기주도,카카오채널,4,3,보고서 문장까지 만들어 보는 것이 좋았습니다.,report,N
2026-07-05,강남센터,중등 내신,네이버광고,5,5,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-06,분당센터,고등 입시,지인추천,4,4,보고서 문장까지 만들어 보는 것이 좋았습니다.,report,N
2026-07-07,송파센터,학부모 코칭,설명회,5,4,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-08,목동센터,AI 학습관리,홈페이지,4,4,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-09,대전센터,초등 자기주도,블로그,5,5,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-10,부산센터,중등 내신,카카오채널,4,4,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-11,강남센터,고등 입시,네이버광고,4,4,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-12,분당센터,학부모 코칭,지인추천,4,5,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
2026-07-13,송파센터,AI 학습관리,설명회,4,5,보고서 문장까지 만들어 보는 것이 좋았습니다.,report,N
2026-07-14,목동센터,초등 자기주도,홈페이지,4,4,실습을 바로 따라 하니 이해가 쉬웠습니다.,positive,N
2026-07-15,대전센터,중등 내신,블로그,3,5,속도가 조금 빨라서 중간 점검 시간이 있으면 좋겠습니다.,pace,Y
2026-07-16,부산센터,고등 입시,카카오채널,3,4,차트가 어떤 의미인지 해석하는 부분이 도움이 됐습니다.,visualization,N
2026-07-17,강남센터,학부모 코칭,네이버광고,3,3,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-18,분당센터,AI 학습관리,지인추천,4,4,센터별 성과를 비교하는 예시가 실제 업무와 비슷했습니다.,business_case,N
2026-07-19,송파센터,초등 자기주도,설명회,4,4,엑셀 파일 정리 방법을 더 많이 보고 싶습니다.,data_cleaning,N
2026-07-20,목동센터,중등 내신,홈페이지,4,4,보안 때문에 원본을 올리기 어려워 샘플 변환 기준이 필요합니다.,security,Y
